source,title,url,snippet,published_date,query,year,extracted,extraction_status
DAWN,HBL PSL 2024: Ton-up Usman leads rampant Sultans into ...,https://www.dawn.com/news/1818890,"Bludgeoning the Karachi bowlers for his second HBL Pakistan Super League century, Usman reminded what Pakistan missed out on as he took the Sultans to a 20-run ...",Not Found,HBL_STRICT,2024,"March 4, 2024",SUCCESS
DAWN,HBL PSL 2024: Sultans look to break curse as United eye ...,https://www.dawn.com/news/1822126,The ninth edition of the HBL Pakistan Super League is set to culminate in a title-deciding clash between a side for which finals have been a curse lately.,Not Found,HBL_STRICT,2024,"March 18, 2024",SUCCESS
DAWN,"HBL PSL 2024: Babar, Saim take Zalmi into playoffs - Sport",https://www.dawn.com/news/1820150,"RAWALPINDI: Peshawar Zalmi skipper Babar Azam drives during the HBL Pakistan ... HBL Pakistan Super League match. The former Pakistan skipper, like he mostly ...",Not Found,HBL_STRICT,2024,"March 9, 2024",SUCCESS
DAWN,What are the challenges that await the new finance minister?,https://www.dawn.com/news/1820971,"Muhammad Aurangzeb, a former chief executive of Habib Bank Limited (HBL) with extensive experience in the financial sector, has taken the reins as Pakistan's ...",Not Found,HBL_STRICT,2024,"March 13, 2024",SUCCESS
DAWN,HBL PSL 2025: Khurram-inspired Quetta Gladiators blow ...,https://www.dawn.com/news/1907410,"HBL Pakistan Super League: Mitchell, Raza star as Qalandars deepen Sultans' woes ...",Not Found,HBL_STRICT,2025,"April 30, 2025",SUCCESS
DAWN,HBL PSL 2024: Malik holds nerve to keep Karachi Kings ...,https://www.dawn.com/news/1820424,... HBL Pakistan Super League match against Lahore Qalandars at the National Bank Stadium on Saturday. —Tahir Jamal/White Star. Jump to comments. Join our ...,Not Found,HBL_STRICT,2024,"March 10, 2024",SUCCESS
DAWN,HBL PSL 2024: Sultans eye first win against Zalmi in high- ...,https://www.dawn.com/news/1821306,KARACHI: Multan Sultans have done well enough to deserve the top spot in the HBL Pakistan Super League standings by the end of the tournament's round-robin ...,Not Found,HBL_STRICT,2024,"March 14, 2024",SUCCESS
DAWN,BISP signs agreements with six banks to facilitate ...,https://www.dawn.com/news/1816113,"... Habib Bank Limited (HBL), and HBL Microfinance. BISP Chairperson Dr. Mohammad Amjad Saqib emphasised the importance of collective responsibility towards ...",Not Found,HBL_STRICT,2024,"February 22, 2024",SUCCESS
DAWN,"HBL PSL 2024: Usman, Usama pile on the misery for ...",https://www.dawn.com/news/1817625,"Playing their last game of the HBL Pakistan Super League on home turf, once again in front of a packed Gaddafi Stadium, skipper Shaheen Shah Afridi sent the ...",Not Found,HBL_STRICT,2024,"February 28, 2024",SUCCESS
DAWN,"Franchises, PCB all but agree over eight-team PSL, April- ...",https://www.dawn.com/news/1834150,"LAHORE: With two more teams set to be added to the HBL Pakistan Super League (PSL) in 2026, the current six franchises have all but agreed over the ...",Not Found,HBL_STRICT,2024,"May 18, 2024",SUCCESS
DAWN,Shadab leads Islamabad United to huge win over ...,https://www.dawn.com/news/1815095,HBL Pakistan Super League: Trophy unveiling stirs excitement ...,Not Found,HBL_STRICT,2024,"February 18, 2024",SUCCESS
DAWN,PCB finalises PSL player categories - Sport,https://www.dawn.com/news/1879409,"... HBL Pakistan Super League (PSL), the country's cricket board announced on Tuesday. The quartet, who previously belonged to the Diamond category, will now ...",Not Found,HBL_STRICT,2024,"December 18, 2024",SUCCESS
