report_name,overall_wasi,profit_sentiment,deposits_sentiment,advances_sentiment,capital_sentiment,npl_sentiment,provisions_sentiment,risk_sentiment,outlook_sentiment,macroeconomic_sentiment,costs_sentiment,num_sentences,profit_sentiment_z,deposits_sentiment_z,advances_sentiment_z,capital_sentiment_z,npl_sentiment_z,provisions_sentiment_z,risk_sentiment_z,outlook_sentiment_z,macroeconomic_sentiment_z,costs_sentiment_z,overall_wasi_z
HBL-Annual-Report-2015.pdf,-0.811481,-0.827919,-0.867521,-0.893904,-0.911051,-0.987375,-0.613042,-0.784385,-0.697059,-0.690872,-0.841682,631,0.8205590983273457,-1.4065235199981378,-1.846858129173832,-1.7395976631527206,-1.197524349766957,2.2603534638340825,-1.537109725748095,-0.7422610417581211,0.368376449806725,0.28400075418138865,-0.4736584663448323
HBL_Annual_Report_2016.pdf,-0.807971,-0.926963,-0.864234,-0.809346,-0.83259,-0.769062,-0.766273,-0.754709,-0.650583,-0.790591,-0.915356,691,-1.9646939358454023,-1.3543486920403773,-0.04277543685782907,0.10949976931839418,-0.5776118671550773,-0.13446398857645936,-0.7888118089404763,-0.3464375425131079,-0.8686629100317934,-1.5172312806974582,-0.7485537693339587
HBL_Annual_Report_2017.pdf,-0.759134,-0.909378,-0.756488,-0.866539,-0.754883,-0.601848,-0.717343,-0.745144,-0.51567,-0.842695,-0.881353,864,-1.4701796330514152,0.3559126444782699,-1.263013633381269,1.9408276160834503,-0.10279797211693092,0.6302534507566252,-0.547624668683541,0.8025799235692258,-1.5150261788674824,-0.6859028217840653,-0.18549712729971324
HBL_Annual_Report_2018.pdf,-0.698984,-0.813322,-0.827281,-0.753692,-0.808862,-0.465496,-0.713291,-0.68709,-0.365735,-0.784202,-0.770872,831,1.2310467456337906,-0.7677906094352368,1.144627507371632,0.6686996759940007,0.28438147587331725,0.6935813695013139,0.9162413261388567,2.0795356934139004,-0.7894057527196623,2.0152117701404975,0.747612920191241
HBL_Annual_Report_2019.pdf,-0.774062,-0.842602,-0.805606,-0.83775,-0.873436,-0.595914,-0.807468,-0.769514,-0.700928,-0.664464,-0.842938,978,0.407653013145422,-0.42374150813178507,-0.6487874616519788,-0.8531215804823353,-0.08594803339674985,-0.7782926195457295,-1.1621286527987063,-0.7752122664456794,0.6959743540638433,0.2532932123646324,-0.33703115428790664
HBL_Annual_Report_2020.pdf,-0.7493,-0.822818,-0.804512,-0.737634,-0.822155,-0.599366,-0.817387,-0.705493,-0.644099,-0.676921,-0.862615,1020,0.9640062099879707,-0.406376353952962,1.4872321086300628,0.3554223513379483,-0.09575018851337665,-0.9333147385063849,0.45219878122004586,-0.29121507136445723,0.5414421254463446,-0.22778345987131535,0.18458617644138758
HBL_Annual_Report_2021.pdf,-0.682265,-0.848996,-0.759128,-0.808804,-0.837766,0.33367,-0.753759,-0.737952,-0.680367,-0.828731,-0.900822,1031,0.22784496924068695,0.3140077020357738,-0.03121162480887628,-0.012483487464853713,2.553659893003793,0.061114879925773094,-0.36627412893154043,-0.6000998004852547,-1.341799234947216,-1.1618941686236048,-0.03571350010553194
HBL_Annual_Report_2022.pdf,-0.798681,-0.854052,-0.705025,-0.808864,-0.889627,-0.997377,-0.751296,-0.714591,-0.781653,-0.655824,-0.828505,1055,0.08566331925908707,1.1727891796745584,-0.03249175160396448,-1.2346963313667203,-1.2259256114924795,0.0996086271785297,0.22278732256269107,-1.4627252188631366,0.803155734432729,0.6061610077796538,-0.09656737224390517
HBL_Annual_Report_2023.pdf,-0.715838,-0.843161,-0.730749,-0.760696,-0.829274,-0.484399,-0.780532,-0.655573,-0.57563,-0.685074,-0.813295,1064,0.3919331669548117,0.7644699602083539,0.9951940394918182,0.18764823908138975,0.23070530606752296,-0.35731512218468464,1.710961148352959,0.2919168498380308,0.44030210297556777,0.978025427391829,0.5633841118177598
HBL_Annual_Report_2024.pdf,-0.713381,-0.881771,-0.66856,-0.796182,-0.812719,-0.489292,-0.856303,-0.679812,-0.487333,-0.586298,-0.875544,1082,-0.6938329536522878,1.7516011971615415,0.2380843819842435,0.57780141065146,0.2168113474969389,-1.5415253223830732,1.0997604068278257,1.0439184746085994,1.6656433098409542,-0.5438804408815575,0.38143818116546446
