date,Open,High,Low,Close,Volume,daily_sentiment,daily_sentiment_sum,daily_news_count,daily_pos,daily_neg,daily_neu,quarterly_sentiment,annual_sentiment,log_return,close_next,log_return_next,direction_next,quarterly_date,annual_date
2015-12-31,105.4644761938262,105.985972612607,104.82181705900496,105.41706085205078,779200,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.004586769844885374,105.91748046875,0.004735814115884196,1,2015-09-30,2015-12-31
2016-01-01,105.61721818481506,106.34942700682632,105.61721818481506,105.91748046875,50100,0.0,0.0,0,0,0,0,0.174584,-0.811481,0.004735814115884196,105.39073944091795,-0.0049855336351143364,0,2015-09-30,2015-12-31
2016-01-04,105.9333111858044,106.14401569412198,105.09574187626691,105.39073944091795,209800,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.0049855336351143364,105.35909271240234,-0.00030032506721511254,0,2015-09-30,2015-12-31
2016-01-05,104.82705877506274,106.0649694682034,103.7787852936828,105.35909271240234,85500,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.00030032506721511254,104.52684020996094,-0.007930563547653868,0,2015-09-30,2015-12-31
2016-01-06,105.88064132286009,105.88064132286009,104.3003332434144,104.52684020996094,531300,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.007930563547653868,103.37319946289062,-0.011098146877826842,0,2015-09-30,2015-12-31
2016-01-07,104.32665050964152,104.32665050964152,102.98338732822296,103.37319946289062,356900,-0.1430555555555555,-0.1430555555555555,1,0,1,0,0.174584,-0.811481,-0.011098146877826842,101.85608673095705,-0.014784833057748692,0,2015-09-30,2015-12-31
2016-01-08,102.86748256981753,103.24675701412266,101.59270214673734,101.85608673095705,769600,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.014784833057748692,100.56024169921876,-0.012803934793436333,0,2015-09-30,2015-12-31
2016-01-11,102.18796471100676,102.19322950961975,99.83330563546248,100.56024169921876,2025100,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.012803934793436333,101.6717300415039,0.010992322574553626,1,2015-09-30,2015-12-31
2016-01-12,99.59099311172685,102.66732360241734,99.56465304165656,101.6717300415039,165100,0.0,0.0,0,0,0,0,0.174584,-0.811481,0.010992322574553626,101.56636810302734,-0.00103683264975718,0,2015-09-30,2015-12-31
2016-01-13,101.8771600017484,102.63570893533613,101.16075356867776,101.56636810302734,163900,0.0,0.0,0,0,0,0,0.174584,-0.811481,-0.00103683264975718,98.77452850341795,-0.027872694890710648,0,2015-09-30,2015-12-31
